@relation 'Vuze 5740_ck'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
7,17,48,32,1,89,242,yes
4,0,13,45,2,15,86,yes
12,1,58,37,1,91,206,yes
42,0,32,29,1,75,256,yes
32,0,106,41,1,84,590,yes
16,0,48,14,1,73,298,yes
14,0,37,24,1,95,207,yes
20,0,50,51,2,78,382,yes
22,0,193,58,2,85,936,yes
9,0,41,9,1,73,232,yes
4,0,21,7,1,21,90,yes
4,0,15,4,1,0,99,yes
31,0,172,148,2,97,796,yes
17,0,68,59,2,95,351,yes
9,0,43,44,2,92,246,yes
12,0,36,42,2,92,220,yes
38,0,206,13,1,73,1342,yes
29,0,60,19,1,92,419,yes
10,0,47,7,1,71,250,yes
0,0,30,7,2,14,135,yes
1,0,16,28,3,0,74,yes
2,0,25,6,1,0,95,yes
56,1,76,31,2,88,624,yes
19,0,46,22,3,66,220,yes
2,0,18,5,1,40,109,yes
