@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
7,0,3,20,2,0,18,no
9,0,8,21,2,60,45,no
12,0,16,20,2,50,77,no
0,0,1,19,2,100,7,no
4,0,5,21,2,83,25,no
4,0,11,23,2,65,56,no
8,0,17,20,2,56,67,no
5,0,9,21,2,0,37,no
7,0,7,20,2,50,41,no
19,1,43,14,1,81,219,no
12,0,19,26,2,73,94,no
11,0,10,22,2,0,42,no
6,0,2,20,2,0,15,no
7,0,13,22,2,0,53,no
16,0,40,24,2,88,182,no
0,0,2,20,2,50,6,no
5,0,3,20,2,50,15,no
4,0,6,22,2,50,25,no
4,0,3,20,2,0,15,no
3,0,3,20,2,50,12,no
7,0,14,21,2,0,75,no
4,0,3,20,2,0,15,no
4,0,3,20,2,0,13,no
14,0,17,20,2,0,94,no
7,0,30,27,2,72,110,no
9,0,10,24,2,83,55,no
6,0,6,21,2,66,27,no
6,0,10,20,2,50,52,no
2,0,16,13,1,30,60,no
1,0,11,5,1,70,50,no
26,0,22,11,2,0,223,no
31,0,126,22,1,89,701,no
0,0,3,3,1,0,13,no
4,1,19,7,2,71,63,no
9,0,115,49,1,93,524,no
12,0,68,54,2,80,257,no
3,0,4,10,3,0,32,no
0,0,1,5,3,0,3,no
0,0,7,4,1,25,25,no
3,0,6,10,2,0,26,no
0,0,10,4,2,75,42,no
3,0,13,3,1,0,66,no
9,0,8,19,2,53,47,no
3,2,24,12,2,63,87,no
6,0,21,89,2,46,104,no
20,0,153,58,1,93,624,no
0,0,1,1,2,0,7,no
7,0,95,97,2,0,155,no
10,0,37,9,1,52,156,no
0,0,18,7,1,57,65,no
19,0,127,19,1,81,538,no
0,0,27,11,1,9,143,no
5,0,70,22,1,87,397,no
6,0,238,31,1,85,967,no
1,0,0,0,1,0,6,no
1,0,21,8,1,60,97,no
4,0,19,4,1,75,102,no
1,0,98,23,1,73,301,no
1,0,37,23,3,72,148,no
3,0,720,50,1,80,2098,no
17,0,130,40,1,0,595,no
0,0,2,4,2,0,11,no
0,0,2,2,2,0,5,no
0,0,18,6,1,0,124,no
1,0,1,1,1,0,10,no
6,38,29,18,1,88,105,no
1,0,15,5,1,0,56,no
5,0,14,22,3,65,71,no
0,0,2,2,1,93,18,no
0,0,18,6,2,83,71,no
7,0,70,11,1,86,252,no
4,3,6,4,2,0,23,no
4,0,4,7,3,33,20,no
5,0,18,12,1,70,73,no
1,0,26,14,1,35,143,no
1,0,2,11,2,0,12,no
2,3,9,9,1,68,42,no
5,0,56,17,1,70,246,no
14,0,35,12,1,77,346,no
11,0,6,28,4,0,56,no
12,4,45,26,3,75,282,no
0,3,0,16,2,0,3,no
8,0,8,19,2,27,80,no
1,0,0,0,1,0,5,no
2,0,4,4,1,37,23,no
1,0,3,1,1,100,42,no
3,0,3,21,2,50,15,no
2,6,12,19,2,0,73,no
9,0,19,9,1,0,232,no
